Code,名稱,網址,評分,餐點類型
a2oq,吃早餐 (彰化民生店),/restaurant/a2oq/chi-zao-can-zhang-hua-min-sheng-dian,4.8 stars out of 5,早餐
r84e,植作茶 無咖啡因飲品專賣 (彰化三民店),/restaurant/r84e/zhi-zuo-cha-wu-ka-pei-yin-yin-pin-zhuan-mai-zhang-hua-san-min-dian,4.9 stars out of 5,飲料
qn99,牛鬼食堂,/restaurant/qn99/niu-gui-shi-tang,3.9 stars out of 5,台式
t6t1,e吧網路電競館 (彰化民生店),/restaurant/t6t1/eba-wang-lu-dian-jing-guan-zhang-hua-min-sheng-dian,4.6 stars out of 5,台式
m5zu,港城豆花孔門店,/restaurant/m5zu/gang-cheng-dou-hua-kong-men-dian,4.7 stars out of 5,甜點
mwrm,饕串燒酒場,/restaurant/mwrm/tao-chuan-shao-jiu-chang,4.4 stars out of 5,日式
e6nu,三顧茅廬 (彰化孔廟店),/restaurant/e6nu/san-gu-mao-lu-zhang-hua-kong-miao-dian,4.7 stars out of 5,小吃
kvhe,晉鈞鵝肉,/restaurant/kvhe/jin-jun-e-rou,4.5 stars out of 5,台式
l2q5,鬼蛇小吃,/restaurant/l2q5/gui-she-xiao-chi,5 stars out of 5,台式
nmoc,炸擱來鹹酥雞 (彰化民族店),/restaurant/nmoc/zha-ge-lai-xian-su-ji-zhang-hua-min-zu-dian,未知,小吃
z3ih,南海茶道 (彰化民族店),/restaurant/z3ih/nan-hai-cha-dao-zhang-hua-min-zu-dian,4.9 stars out of 5,飲料
sp2r,秦湯.御膳食補製湯所 (彰化民生店),/restaurant/sp2r/qin-tang-yu-shan-shi-bu-zhi-tang-suo-zhang-hua-min-sheng-dian,4.8 stars out of 5,台式
bmv2,台灣第一家鹽酥雞 (彰化永興店),/restaurant/bmv2/tai-wan-di-jia-yan-su-ji-zhang-hua-yong-xing-dian,4.7 stars out of 5,小吃
b8fh,九圓茶行,/restaurant/b8fh/jiu-yuan-cha-xing,5 stars out of 5,飲料
ljj6,糖糖餐飲館,/restaurant/ljj6/tang-tang-can-yin-guan,4.4 stars out of 5,台式
p2fs,甲文青 (彰化成功店),/restaurant/p2fs/jia-wen-qing-zhang-hua-cheng-gong-dian,4.8 stars out of 5,飲料
f6jj,小嶋鳥燒居酒屋,/restaurant/f6jj/xiao-dao-niao-shao-ju-jiu-wu,4.7 stars out of 5,日式
xtj5,雁歸_雞湯拉麵,/restaurant/xtj5/yan-gui-_ji-tang-la-mian,4.9 stars out of 5,日式
z0rt,美而美早餐店 (彰化長興店),/restaurant/z0rt/mei-er-mei-zao-can-dian-zhang-hua-chang-xing-dian,4.8 stars out of 5,早餐
qrfy,郭 嘉義火雞肉飯,/restaurant/qrfy/guo-jia-yi-huo-ji-rou-fan,4.7 stars out of 5,台式
q1b2,清溪自助餐,/restaurant/q1b2/qing-xi-zi-zhu-can,4.5 stars out of 5,台式
f6wr,黑頭碗粿 (中正店),/restaurant/f6wr/hei-tou-wan-guo-zhong-zheng-dian,4.8 stars out of 5,台式
a4nc,ikiwi趣味果飲 (彰化三民店),/restaurant/a4nc/ikiwiqu-wei-guo-yin-zhang-hua-san-min-dian,4.7 stars out of 5,飲料
z8nm,自家用料理食堂,/restaurant/z8nm/zi-jia-yong-liao-li-shi-tang,4.7 stars out of 5,台式
iaqm,A-NINI夏威夷生魚飯 (彰化店),/restaurant/iaqm/a-ninixia-wei-yi-sheng-yu-fan-zhang-hua-dian,4.9 stars out of 5,健康餐
nal4,莊董粉行 (彰化彰美店),/restaurant/nal4/zhuang-dong-fen-xing-zhang-hua-zhang-mei-dian,4.8 stars out of 5,甜點
u8ws,矮子咖哩カレーライス專門店,/restaurant/u8ws/ai-zi-ka-li-kareraisuzhuan-men-dian,4.9 stars out of 5,日式
r0vu,吐司男 (彰化中山店),/restaurant/r0vu/tu-si-nan-zhang-hua-zhong-shan-dian,4.7 stars out of 5,台式
z7zo,IRON Restaurant,/restaurant/z7zo/iron-restaurant,4.7 stars out of 5,歐美
z0hi,手匠拉麵,/restaurant/z0hi/shou-jiang-la-mian,4.9 stars out of 5,日式
uph0,啵啦地瓜球,/restaurant/uph0/bo-la-di-gua-qiu,5 stars out of 5,甜點
v23x,植茶製所,/restaurant/v23x/zhi-cha-zhi-suo,4.7 stars out of 5,飲料
b3zc,搖滾披薩Pizza Rock (彰化中正店),/restaurant/b3zc/yao-gun-pi-sa-pizza-rock-zhang-hua-zhong-zheng-dian,4.8 stars out of 5,歐美
cz8w,SUBWAY (彰化中華店),/restaurant/cz8w/subway-zhang-hua-zhong-hua-dian,4.8 stars out of 5,歐美
f0xb,皇品牛肉麵 (彰化彰美店),/restaurant/f0xb/huang-pin-niu-rou-mian-zhang-hua-zhang-mei-dian,4.8 stars out of 5,台式
