Code,名稱,網址,評分,餐點類型
aws0,尚讚豆花,/restaurant/aws0/shang-zan-dou-hua,4.5 stars out of 5,甜點
g4or,耐肯專業炸雞 (彰化福興店),/restaurant/g4or/nai-ken-zhuan-ye-zha-ji-zhang-hua-fu-xing-dian,4.9 stars out of 5,小吃
zun0,幸糊麵線,/restaurant/zun0/xing-hu-mian-xian,4 stars out of 5,小吃
ol54,偉魚小居,/restaurant/ol54/wei-yu-xiao-ju,4.8 stars out of 5,日式
rcdr,港心麵線糊 (彰化伸港店),/restaurant/rcdr/gang-xin-mian-xian-hu-zhang-hua-shen-gang-dian,4.8 stars out of 5,小吃
rils,六一港式燒臘快餐店,/restaurant/rils/liu-gang-shi-shao-la-kuai-can-dian,4.7 stars out of 5,港式
vbd3,燒肉ROCK (彰化鹿港店),/restaurant/vbd3/shao-rou-rock-zhang-hua-lu-gang-dian,4.2 stars out of 5,台式
p7ax,源小吃,/restaurant/p7ax/yuan-xiao-chi,4.8 stars out of 5,台式
cjt0,咖哩犇 (伸港中山店),/restaurant/cjt0/ka-li-ben-shen-gang-zhong-shan-dian,4.7 stars out of 5,日式
r6tj,小熊燒 (彰化伸港店),/restaurant/r6tj/xiao-xiong-shao-zhang-hua-shen-gang-dian,4.9 stars out of 5,甜點
vv1u,13番地生乳脆皮甜甜圈,/restaurant/vv1u/13fan-di-sheng-ru-cui-pi-tian-tian-quan,5 stars out of 5,甜點
fsmc,懷舊蚵嗲炸粿,/restaurant/fsmc/huai-jiu-he-dia-zha-guo,4.8 stars out of 5,小吃
wib2,呷抽霸,/restaurant/wib2/xia-chou-ba,4.7 stars out of 5,台式
zfjj,福興工業早餐店,/restaurant/zfjj/fu-xing-gong-ye-zao-can-dian,4.7 stars out of 5,早餐
nhgr,阿辰爌肉飯,/restaurant/nhgr/a-chen-kuang-rou-fan,4.3 stars out of 5,台式
eew0,駱先生義大利麵 (彰化伸港店),/restaurant/eew0/luo-xian-sheng-yi-da-li-mian-zhang-hua-shen-gang-dian,4.7 stars out of 5,歐美
gi4x,李宣鬆餅,/restaurant/gi4x/li-xuan-song-bing,4.9 stars out of 5,甜點
xvq3,蔡媽媽鍋燒麵,/restaurant/xvq3/cai-ma-ma-guo-shao-mian,4.5 stars out of 5,台式
gm2u,鳳姐雞湯簡餐現打果汁,/restaurant/gm2u/feng-jie-ji-tang-jian-can-xian-da-guo-zhi,4.6 stars out of 5,台式
ghhp,阿芳便當,/restaurant/ghhp/a-fang-bian-dang,4.6 stars out of 5,台式
bbvj,妞妞粥品 (彰化伸港店),/restaurant/bbvj/niu-niu-zhou-pin-zhang-hua-shen-gang-dian,4.9 stars out of 5,台式
s4l4,台北組羊肉焿 (彰化大村店),/restaurant/s4l4/tai-bei-zu-yang-rou-zhang-hua-da-cun-dian,4.8 stars out of 5,台式
ta62,56餐坊,/restaurant/ta62/56can-fang,4.8 stars out of 5,台式
ynru,巷仔內粉漿蛋餅,/restaurant/ynru/xiang-zi-nei-fen-jiang-dan-bing-ynru,4.9 stars out of 5,早餐
ixef,丼屋,/restaurant/ixef/jing-wu,4.9 stars out of 5,日式
ir1z,饗吃早餐,/restaurant/ir1z/xiang-chi-zao-can,4.9 stars out of 5,台式
sy2a,佳佳自助餐,/restaurant/sy2a/jia-jia-zi-zhu-can,4.8 stars out of 5,台式
fnj6,饗食義麵 (彰化伸港店),/restaurant/fnj6/xiang-shi-yi-mian-zhang-hua-shen-gang-dian,4.8 stars out of 5,歐美
m9cn,伸港燒肉食堂,/restaurant/m9cn/shen-gang-shao-rou-shi-tang,4.9 stars out of 5,日式
cswp,呷尚寶 (彰化伸港店),/restaurant/cswp/xia-shang-bao-zhang-hua-shen-gang-dian,4.9 stars out of 5,早餐
tnmd,Moose Burger 迷鹿吐司堡,/restaurant/tnmd/moose-burger-mi-lu-tu-si-bao,4.8 stars out of 5,小吃
tlqw,紅心杙地瓜 (彰化鹿港店),/restaurant/tlqw/hong-xin-yi-di-gua-zhang-hua-lu-gang-dian,4.8 stars out of 5,小吃
zqoj,水源燒肉飯 (彰化伸港店),/restaurant/zqoj/shui-yuan-shao-rou-fan-zhang-hua-shen-gang-dian,4.9 stars out of 5,台式
dd1n,愛吃麵,/restaurant/dd1n/ai-chi-mian,5 stars out of 5,台式
bb1j,森瀧食品,/restaurant/bb1j/sen-long-shi-pin,未知,台式
arcg,二姐的店,/restaurant/arcg/er-jie-de-dian,4.7 stars out of 5,台式
ubhg,魯辣辣 (彰化大村店),/restaurant/ubhg/lu-la-la-zhang-hua-da-cun-dian,4.6 stars out of 5,小吃
dv8w,胡麻將爌肉飯,/restaurant/dv8w/hu-ma-jiang-kuang-rou-fan,4.8 stars out of 5,台式
hfnc,擼串ㄦ,/restaurant/hfnc/lu-chuan-er,4.7 stars out of 5,小吃
q53h,夜間部,/restaurant/q53h/ye-jian-bu,4.7 stars out of 5,台式
vvmz,大葉東山鴨頭,/restaurant/vvmz/da-xie-dong-shan-ya-tou,4.2 stars out of 5,台式
hpms,神仙老虎狗,/restaurant/hpms/shen-xian-lao-hu-gou,4.8 stars out of 5,台式
n8hp,夯 臭豆腐 (彰化鹿港店),/restaurant/n8hp/hang-chou-dou-fu-zhang-hua-lu-gang-dian,4.8 stars out of 5,小吃
f4fe,買辣麻辣燙 (彰化鹿港店),/restaurant/f4fe/mai-la-ma-la-tang-zhang-hua-lu-gang-dian,4.9 stars out of 5,小吃
aby9,牟牟TEA (彰化鹿東店),/restaurant/aby9/mou-mou-tea-zhang-hua-lu-dong-dian,4.9 stars out of 5,飲料
reo6,大贏家串燒,/restaurant/reo6/da-ying-jia-chuan-shao,4.7 stars out of 5,小吃
f5jk,3米鍋物,/restaurant/f5jk/3mi-guo-wu,4.8 stars out of 5,台式
x6le,鹿兒角手作私茶 (彰化鹿港店),/restaurant/x6le/lu-er-jiao-shou-zuo-si-cha-zhang-hua-lu-gang-dian,4.9 stars out of 5,飲料
fykh,嗨蛋餅,/restaurant/fykh/hai-dan-bing,4.9 stars out of 5,早餐
woeb,天后水產,/restaurant/woeb/tian-hou-shui-chan,4.9 stars out of 5,日式
ax8h,鹿港大頭香牛排火鍋,/restaurant/ax8h/lu-gang-da-tou-xiang-niu-pai-huo-guo,4.5 stars out of 5,台式
oxuk,妞妞木瓜牛奶，烤土司,/restaurant/oxuk/niu-niu-mu-gua-niu-nai-kao-tu-si,5 stars out of 5,台式
f7uh,少爺愛炒飯,/restaurant/f7uh/shao-ye-ai-chao-fan,4.7 stars out of 5,台式
s19v,品香臭臭鍋,/restaurant/s19v/pin-xiang-chou-chou-guo,4.8 stars out of 5,台式
qnig,佳味水餃專賣店,/restaurant/qnig/jia-wei-shui-jiao-zhuan-mai-dian,4.8 stars out of 5,台式
acvv,翔美素食簡餐,/restaurant/acvv/xiang-mei-su-shi-jian-can,4.8 stars out of 5,素食
f3gx,好鮮屋鮮食茶飲,/restaurant/f3gx/hao-xian-wu-xian-shi-cha-yin,4.8 stars out of 5,台式
n3s3,九品茶,/restaurant/n3s3/jiu-pin-cha,4.9 stars out of 5,甜點
svht,和可咖哩,/restaurant/svht/he-ke-ka-li,4.8 stars out of 5,日式
pc4p,就是愛炒飯,/restaurant/pc4p/jiu-shi-ai-chao-fan-pc4p,4.7 stars out of 5,台式
g2j2,福伯徊香麵線糊,/restaurant/g2j2/fu-bo-huai-xiang-mian-xian-hu,4.9 stars out of 5,小吃
e049,菓蔬輕蒔坊,/restaurant/e049/guo-shu-qing-shi-fang,未知,台式
ipvb,天香臭豆腐  (鹿港店),/restaurant/ipvb/tian-xiang-chou-dou-fu-lu-gang-dian,4.8 stars out of 5,小吃
f9pi,甲一牛排,/restaurant/f9pi/jia-niu-pai-f9pi,4.8 stars out of 5,台式
p9yd,鹿東魷魚肉羹（原鹿港洪肉羹）,/restaurant/p9yd/lu-dong-you-yu-rou-geng-yuan-lu-gang-hong-rou-geng,4.8 stars out of 5,台式
ku8h,九曲巷炭烤吐司,/restaurant/ku8h/jiu-qu-xiang-tan-kao-tu-si,4.9 stars out of 5,小吃
u6pn,好享麵,/restaurant/u6pn/hao-xiang-mian,4.9 stars out of 5,台式
t3aa,鹿港烤魷魚,/restaurant/t3aa/lu-gang-kao-you-yu,4.9 stars out of 5,小吃
v7qm,阿咕咕飲茶小舖,/restaurant/v7qm/a-gu-gu-yin-cha-xiao-pu,4.8 stars out of 5,飲料
kdbb,十姐法國麵包,/restaurant/kdbb/shi-jie-fa-guo-mian-bao,未知,東南亞
q1ld,生炒花枝羹,/restaurant/q1ld/sheng-chao-hua-zhi-geng,4.5 stars out of 5,台式
ym2s,老窩咖啡館 (彰化員林店),/restaurant/ym2s/lao-wo-ka-pei-guan-zhang-hua-yuan-lin-dian,4.9 stars out of 5,咖啡
kkik,陵水天冷飲店,/restaurant/kkik/ling-shui-tian-leng-yin-dian,4.9 stars out of 5,飲料
ebhj,森晴餐盒,/restaurant/ebhj/sen-qing-can-he,4.8 stars out of 5,日式
f8yf,一鳴義式餐廳,/restaurant/f8yf/ming-yi-shi-can-ting,4.8 stars out of 5,歐美
u1mu,今品手工湯包,/restaurant/u1mu/jin-pin-shou-gong-tang-bao,5 stars out of 5,小吃
th5c,丼滋丼滋,/restaurant/th5c/jing-zi-jing-zi-th5c,4.8 stars out of 5,日式
qhkv,BARCAFE 咖啡吧,/restaurant/qhkv/barcafe-ka-pei-ba,5 stars out of 5,歐美
trwg,鹿稻綠豆沙牛奶,/restaurant/trwg/lu-dao-lu-dou-sha-niu-nai,4.9 stars out of 5,飲料
v1dx,小銅板,/restaurant/v1dx/xiao-tong-ban,4.8 stars out of 5,台式
anxa,嘴乾,/restaurant/anxa/zui-gan,4.8 stars out of 5,飲料
mpxd,多米屋,/restaurant/mpxd/duo-mi-wu,4.8 stars out of 5,日式
t1ht,Hi 倪好紅豆餅,/restaurant/t1ht/hi-ni-hao-hong-dou-bing,4.7 stars out of 5,甜點
f0rz,鹿霸鍋燒意麵,/restaurant/f0rz/lu-ba-guo-shao-yi-mian,4.7 stars out of 5,台式
iuad,法鬥熊貓,/restaurant/iuad/fa-dou-xiong-mao,4.9 stars out of 5,飲料
r1lx,又又手搖飲,/restaurant/r1lx/you-you-shou-yao-yin,4.8 stars out of 5,甜點
tupe,轟炸大魷魚,/restaurant/tupe/hong-zha-da-you-yu,4.7 stars out of 5,小吃
g64p,三形究藏,/restaurant/g64p/san-xing-jiu-cang,4.8 stars out of 5,日式
lnrg,棟記豆漿,/restaurant/lnrg/dong-ji-dou-jiang,4.7 stars out of 5,小吃
l6c6,老饕牛肉麵,/restaurant/l6c6/lao-tao-niu-rou-mian,3.9 stars out of 5,台式
u09y,一畝石鍋,/restaurant/u09y/mu-shi-guo,4.7 stars out of 5,台式
s3w2,十三月 (彰化鹿港店),/restaurant/s3w2/shi-san-yue-zhang-hua-lu-gang-dian,4.9 stars out of 5,飲料
plba,凡凡滷味,/restaurant/plba/fan-fan-lu-wei-plba,4.9 stars out of 5,小吃
l71g,福鹿城,/restaurant/l71g/fu-lu-cheng,4.7 stars out of 5,台式
f0at,台北小籠包 (彰化鹿港店),/restaurant/f0at/tai-bei-xiao-long-bao-zhang-hua-lu-gang-dian,4.7 stars out of 5,中式
r2kr,成功牛排 (彰化鹿港店),/restaurant/r2kr/cheng-gong-niu-pai-zhang-hua-lu-gang-dian,4.8 stars out of 5,台式
n3qr,元春餃子館,/restaurant/n3qr/yuan-chun-jiao-zi-guan,4.8 stars out of 5,台式
f8ow,櫻之屋日本料理,/restaurant/f8ow/ying-zhi-wu-ri-ben-liao-li,4.5 stars out of 5,日式
pqkl,麗媽四季鍋 (彰化鹿港店),/restaurant/pqkl/li-ma-si-ji-guo-zhang-hua-lu-gang-dian,4.8 stars out of 5,台式
qtzz,燒丼棧,/restaurant/qtzz/shao-jing-zhan,4.8 stars out of 5,日式
ld8d,瑛茹鱔魚麵 (炒飯炒麵),/restaurant/ld8d/ying-ru-shan-yu-mian-chao-fan-chao-mian,4.8 stars out of 5,台式
o9de,鹿仔港 四十米現炒,/restaurant/o9de/lu-zi-gang-si-shi-mi-xian-chao,4.7 stars out of 5,台式
q4hq,路邊攤現炒燒烤,/restaurant/q4hq/lu-bian-tan-xian-chao-shao-kao,4.7 stars out of 5,台式
xzop,有滋有味鹽水雞,/restaurant/xzop/you-zi-you-wei-yan-shui-ji,4.9 stars out of 5,小吃
qcqh,好客茶飲,/restaurant/qcqh/hao-ke-cha-yin,4.8 stars out of 5,飲料
as0q,江滬上海小籠湯包,/restaurant/as0q/jiang-hu-shang-hai-xiao-long-tang-bao,4.7 stars out of 5,中式
f7mm,嚮茶 (彰化鹿港店),/restaurant/f7mm/xiang-cha-zhang-hua-lu-gang-dian,4.9 stars out of 5,飲料
c5nn,一豆狀圓 (鹿港復興店),/restaurant/c5nn/dou-zhuang-yuan-lu-gang-fu-xing-dian,4.9 stars out of 5,甜點
lg0b,大村炸蛋蔥油餅,/restaurant/lg0b/da-cun-zha-dan-cong-you-bing,4.8 stars out of 5,小吃
ku3y,烏弄 (鹿港民權店),/restaurant/ku3y/wu-nong-lu-gang-min-quan-dian,4.9 stars out of 5,飲料
fnh6,二葉食の館,/restaurant/fnh6/er-xie-shi-noguan,4.9 stars out of 5,台式
ybfm,DM雞排 (鹿港民族店),/restaurant/ybfm/dmji-pai-lu-gang-min-zu-dian,4.8 stars out of 5,小吃
n4ui,棟炸棟炸 炸饅頭炸物,/restaurant/n4ui/dong-zha-dong-zha-zha-man-tou-zha-wu,4.6 stars out of 5,台式
lnp1,啼款雞鹹酥雞 (彰化鹿港店),/restaurant/lnp1/ti-kuan-ji-xian-su-ji-zhang-hua-lu-gang-dian,4.7 stars out of 5,小吃
o33q,3鼎紅麻辣鴨血臭豆腐 (鹿港復興店),/restaurant/o33q/3ding-hong-ma-la-ya-xie-chou-dou-fu-lu-gang-fu-xing-dian,4.9 stars out of 5,小吃
f3wh,感恩芋冰城 (鹿港復興店),/restaurant/f3wh/gan-en-yu-bing-cheng-lu-gang-fu-xing-dian,4.8 stars out of 5,甜點
ucxn,台茶八號紅茶專賣店,/restaurant/ucxn/tai-cha-ba-hao-hong-cha-zhuan-mai-dian,4.9 stars out of 5,小吃
f7ua,STARBUCKS 星巴克 (鹿港門市),/restaurant/f7ua/starbucks-xing-ba-ke-lu-gang-men-shi,4.9 stars out of 5,飲料
pq4h,品太水餃,/restaurant/pq4h/pin-tai-shui-jiao,4.9 stars out of 5,台式
xn4w,西西里島披薩,/restaurant/xn4w/xi-xi-li-dao-pi-sa,4.9 stars out of 5,歐美
lzk2,珍香牛肉麵,/restaurant/lzk2/zhen-xiang-niu-rou-mian-lzk2,4.8 stars out of 5,台式
mayg,民族鍋燒意麵,/restaurant/mayg/min-zu-guo-shao-yi-mian,4.9 stars out of 5,台式
u1nx,品味豆乳雞,/restaurant/u1nx/pin-wei-dou-ru-ji,4.7 stars out of 5,小吃
r7wr,三駿麵食館,/restaurant/r7wr/san-jun-mian-shi-guan,4.8 stars out of 5,台式
vv78,滿座 烏龍麵所,/restaurant/vv78/man-zuo-wu-long-mian-suo,5 stars out of 5,日式
wcgg,鄉椿私房料理,/restaurant/wcgg/xiang-chun-si-fang-liao-li,4.8 stars out of 5,台式
g5di,1208燒烤,/restaurant/g5di/1208shao-kao,4.7 stars out of 5,小吃
h0nw,滿座食堂Full House,/restaurant/h0nw/man-zuo-shi-tang-full-house,4.9 stars out of 5,日式
dw6p,嘉香懷舊便當,/restaurant/dw6p/jia-xiang-huai-jiu-bian-dang,4.5 stars out of 5,小吃
f1nn,九湯屋日式拉麵 (彰化鹿港店),/restaurant/f1nn/jiu-tang-wu-ri-shi-la-mian-zhang-hua-lu-gang-dian,4.9 stars out of 5,日式
f1ph,蒸鄉佛跳牆,/restaurant/f1ph/zheng-xiang-fo-tiao-qiang,4.8 stars out of 5,台式
jcp8,品珍燒臘快餐,/restaurant/jcp8/pin-zhen-shao-la-kuai-can,4.7 stars out of 5,港式
s2xa,海露佳味館,/restaurant/s2xa/hai-lu-jia-wei-guan,4.7 stars out of 5,台式
x4ye,王祖羊肉羹,/restaurant/x4ye/wang-zu-yang-rou-geng,4.8 stars out of 5,台式
l0ix,心口福脆皮雞排 (彰化大葉店),/restaurant/l0ix/xin-kou-fu-cui-pi-ji-pai-zhang-hua-da-xie-dian,4.7 stars out of 5,小吃
hf0e,鹿水谷堂 (鹿港民族店),/restaurant/hf0e/lu-shui-gu-tang-lu-gang-min-zu-dian,4.9 stars out of 5,飲料
qjkb,50年代黑豆漿,/restaurant/qjkb/50nian-dai-hei-dou-jiang,4.7 stars out of 5,台式
pvxd,P&P悠活館,/restaurant/pvxd/pandpyou-huo-guan,4.9 stars out of 5,歐美
bh57,麗卿陽春麵,/restaurant/bh57/li-qing-yang-chun-mian,4.8 stars out of 5,台式
vkz5,樂yoyo抓餅舖,/restaurant/vkz5/le-yoyozhua-bing-pu,4.5 stars out of 5,小吃
h8zb,花媽水煎包,/restaurant/h8zb/hua-ma-shui-jian-bao,4.7 stars out of 5,小吃
f0oj,大苑子 (鹿港中山店),/restaurant/f0oj/da-yuan-zi-lu-gang-zhong-shan-dian,4.9 stars out of 5,飲料
f9my,茗沏手作茶飲 (彰化鹿港店),/restaurant/f9my/ming-qie-shou-zuo-cha-yin-zhang-hua-lu-gang-dian,4.9 stars out of 5,飲料
xe8v,CH粿店炸物,/restaurant/xe8v/chguo-dian-zha-wu,4.7 stars out of 5,小吃
n2uu,好食姬炸物（原双姬殿）,/restaurant/n2uu/hao-shi-ji-zha-wu-yuan-shuang-ji-dian,4.8 stars out of 5,歐美
f3em,東海小確幸 (彰化鹿港店),/restaurant/f3em/dong-hai-xiao-que-xing-zhang-hua-lu-gang-dian,4.8 stars out of 5,飲料
l5ce,有村小攤,/restaurant/l5ce/you-cun-xiao-tan,4.8 stars out of 5,日式
iy2l,岩語茶 (鹿港中山店),/restaurant/iy2l/yan-yu-cha-lu-gang-zhong-shan-dian,4.6 stars out of 5,飲料
i4ru,顏舍食堂,/restaurant/i4ru/yan-she-shi-tang,4.8 stars out of 5,台式
roia,玖炸物,/restaurant/roia/jiu-zha-wu,4.7 stars out of 5,小吃
luh2,芋圓柚子,/restaurant/luh2/yu-yuan-you-zi,4.9 stars out of 5,飲料
l1yh,閃亮PASTA (彰化鹿港店),/restaurant/l1yh/shan-liang-pasta-zhang-hua-lu-gang-dian,4.6 stars out of 5,歐美
f7cw,八鮮鍋海 (彰化鹿港店),/restaurant/f7cw/ba-xian-guo-hai-zhang-hua-lu-gang-dian,4.8 stars out of 5,台式
iepn,貢茶 (彰化鹿港店),/restaurant/iepn/gong-cha-zhang-hua-lu-gang-dian,4.9 stars out of 5,飲料
f1tj,德薏素食,/restaurant/f1tj/de-yi-su-shi,4.9 stars out of 5,素食
yxva,有雞食堂 (彰化鹿港店),/restaurant/yxva/you-ji-shi-tang-zhang-hua-lu-gang-dian,4 stars out of 5,台式
f8fq,鹿鼎紀三色湯圓,/restaurant/f8fq/lu-ding-ji-san-se-tang-yuan,4.8 stars out of 5,甜點
v3dh,塩燒,/restaurant/v3dh/yan-shao-v3dh,4.7 stars out of 5,日式
grdj,什錦麵,/restaurant/grdj/shi-jin-mian,4.8 stars out of 5,台式
lwam,一家之薯 (彰化鹿港店),/restaurant/lwam/jia-zhi-shu-zhang-hua-lu-gang-dian,4.9 stars out of 5,小吃
jrre,鹿港大口小吃臭豆腐,/restaurant/jrre/lu-gang-da-kou-xiao-chi-chou-dou-fu,4.7 stars out of 5,小吃
o7md,LeeLi's,/restaurant/o7md/leelis,4.6 stars out of 5,歐美
glmd,食NiNi Brunch,/restaurant/glmd/shi-nini-brunch,5 stars out of 5,台式
p1lj,早安公雞農場晨食 (彰化鹿港店),/restaurant/p1lj/zao-an-gong-ji-nong-chang-chen-shi-zhang-hua-lu-gang-dian,4.8 stars out of 5,早餐
ygoi,靖芹享食,/restaurant/ygoi/jing-qin-xiang-shi,4.9 stars out of 5,健康餐
cqdt,地瓜粥素食早餐,/restaurant/cqdt/di-gua-zhou-su-shi-zao-can,4.8 stars out of 5,素食
f4iw,黑武藏壽司 (彰化鹿港店),/restaurant/f4iw/hei-wu-cang-shou-si-zhang-hua-lu-gang-dian,4.5 stars out of 5,日式
me7d,金盛鹹粥,/restaurant/me7d/jin-sheng-xian-zhou,4.8 stars out of 5,台式
mthe,永香蝦丸湯,/restaurant/mthe/yong-xiang-xia-wan-tang,4.6 stars out of 5,台式
kwvt,仙品糖炒栗子 (彰化鹿港總店),/restaurant/kwvt/xian-pin-tang-chao-li-zi-zhang-hua-lu-gang-zong-dian,4.1 stars out of 5,小吃
w88g,55元便當,/restaurant/w88g/55yuan-bian-dang,4.9 stars out of 5,台式
q1ng,胖胖輕食早午餐,/restaurant/q1ng/pang-pang-qing-shi-zao-wu-can,4.9 stars out of 5,早餐
tswp,臺灣鹿港の子,/restaurant/tswp/tai-wan-lu-gang-nozi,3.9 stars out of 5,甜點
kyum,鮮切果,/restaurant/kyum/xian-qie-guo-kyum,未知,健康餐
hg4z,紅牛鐵板牛排,/restaurant/hg4z/hong-niu-tie-ban-niu-pai,4.8 stars out of 5,台式
lode,蔬食綜合健康餐,/restaurant/lode/shu-shi-zong-he-jian-kang-can,4.7 stars out of 5,台式
f0sb,原茶original Tea Shop,/restaurant/f0sb/yuan-cha-original-tea-shop,4.8 stars out of 5,飲料
g8zb,gu-ji鹽水雞,/restaurant/g8zb/gu-jiyan-shui-ji,5 stars out of 5,小吃
i55q,紅茶洋行 (彰化鹿港店),/restaurant/i55q/hong-cha-yang-xing-zhang-hua-lu-gang-dian,4.9 stars out of 5,飲料
vao3,香榭料理廚房,/restaurant/vao3/xiang-xie-liao-li-chu-fang,4.8 stars out of 5,歐美
vd3t,瑪町,/restaurant/vd3t/ma-ting,4.8 stars out of 5,歐美
u4iv,古傳紅茶冰大葉總店,/restaurant/u4iv/gu-chuan-hong-cha-bing-da-xie-zong-dian,4.9 stars out of 5,飲料
q9bo,鹿港港城豆花,/restaurant/q9bo/lu-gang-gang-cheng-dou-hua,4.8 stars out of 5,甜點
f7ul,達可茶郊 (鹿港中山店),/restaurant/f7ul/da-ke-cha-jiao-lu-gang-zhong-shan-dian,4.9 stars out of 5,甜點
f5bv,沐楽 手作。,/restaurant/f5bv/mu-le-shou-zuo,4.6 stars out of 5,飲料
tngr,擄滷胃,/restaurant/tngr/lu-lu-wei,4.8 stars out of 5,小吃
c21p,文陽水果店,/restaurant/c21p/wen-yang-shui-guo-dian,4.7 stars out of 5,健康餐
qmch,LUWEILUWEI 滷味專賣店,/restaurant/qmch/luweiluwei-lu-wei-zhuan-mai-dian,未知,小吃
lnly,人生辣舖頭 (彰化鹿港店),/restaurant/lnly/ren-sheng-la-pu-tou-zhang-hua-lu-gang-dian,4.7 stars out of 5,小吃
kbyt,昌平炸雞王 (鹿港海浴店),/restaurant/kbyt/chang-ping-zha-ji-wang-lu-gang-hai-yu-dian,4.7 stars out of 5,歐美
f7om,澄糖入室 (鹿港中山店),/restaurant/f7om/cheng-tang-ru-shi-lu-gang-zhong-shan-dian,4.8 stars out of 5,飲料
x3fa,在路上,/restaurant/x3fa/zai-lu-shang,4.8 stars out of 5,早餐
sleb,御和鼎食坊,/restaurant/sleb/yu-he-ding-shi-fang,4.6 stars out of 5,台式
ehdl,三碗豬泰式奶茶,/restaurant/ehdl/san-wan-zhu-tai-shi-nai-cha,4.8 stars out of 5,飲料
uny0,鬼匠拉麵 (彰化鹿港店),/restaurant/uny0/gui-jiang-la-mian-zhang-hua-lu-gang-dian,4.9 stars out of 5,日式
s9fs,阿祥爌肉飯,/restaurant/s9fs/a-xiang-kuang-rou-fan,4.8 stars out of 5,台式
f0sp,Meet小鹿脆皮雞蛋糕,/restaurant/f0sp/meetxiao-lu-cui-pi-ji-dan-gao,4.9 stars out of 5,甜點
cqrj,大口吐司,/restaurant/cqrj/da-kou-tu-si,4.7 stars out of 5,歐美
f6bw,員湘園 (彰化鹿港店),/restaurant/f6bw/yuan-xiang-yuan-zhang-hua-lu-gang-dian,4.7 stars out of 5,台式
f5si,爸爸義大利麵,/restaurant/f5si/ba-ba-yi-da-li-mian,4.8 stars out of 5,歐美
p4mk,小松丼丼食事處 (鹿港店),/restaurant/p4mk/xiao-song-jing-jing-shi-shi-chu-lu-gang-dian,4.8 stars out of 5,日式
wl7g,行漉飲茶,/restaurant/wl7g/xing-lu-yin-cha,4.9 stars out of 5,飲料
lqu0,樂法 (彰化鹿港店),/restaurant/lqu0/le-fa-zhang-hua-lu-gang-dian,4.8 stars out of 5,飲料
d0g8,阿嫂現炒-古早味,/restaurant/d0g8/a-sao-xian-chao-gu-zao-wei,4.6 stars out of 5,台式
f8gp,櫃啡茶-咖啡茶飲,/restaurant/f8gp/gui-pei-cha-ka-pei-cha-yin,4.8 stars out of 5,台式
yc38,珍豪味,/restaurant/yc38/zhen-hao-wei-yc38,4.9 stars out of 5,台式
j3gf,露餡了手作車輪餅,/restaurant/j3gf/lu-xian-liao-shou-zuo-che-lun-bing,4.7 stars out of 5,甜點
o502,先喝道 (彰化鹿港店),/restaurant/o502/xian-he-dao-zhang-hua-lu-gang-dian,4.9 stars out of 5,飲料
q9ff,坤敬泰式料理,/restaurant/q9ff/kun-jing-tai-shi-liao-li,4.7 stars out of 5,東南亞
dvqq,中山路鍋燒,/restaurant/dvqq/zhong-shan-lu-guo-shao,5 stars out of 5,台式
f6po,愛丹早午餐,/restaurant/f6po/ai-dan-zao-wu-can,4.8 stars out of 5,早餐
v7qd,供腸老闆,/restaurant/v7qd/gong-chang-lao-ban,4.9 stars out of 5,小吃
t5uk,荳神綠豆沙 (鹿港天后店),/restaurant/t5uk/dou-shen-lu-dou-sha-lu-gang-tian-hou-dian,4.9 stars out of 5,飲料
nhuk,君翔香雞排,/restaurant/nhuk/jun-xiang-xiang-ji-pai,4 stars out of 5,小吃
kbvv,金晨鹹水雞,/restaurant/kbvv/jin-chen-xian-shui-ji,4 stars out of 5,小吃
z3qw,陸柒零年代飲品創始店 (彰化鹿港總行),/restaurant/z3qw/lu-qi-ling-nian-dai-yin-pin-chuang-shi-dian-zhang-hua-lu-gang-zong-xing,4.7 stars out of 5,飲料
f5tm,吳家麵店,/restaurant/f5tm/wu-jia-mian-dian-f5tm,4.9 stars out of 5,台式
bd0r,候咖啡,/restaurant/bd0r/hou-ka-pei,4.9 stars out of 5,歐美
m0xn,粥麋家,/restaurant/m0xn/zhou-mi-jia,4.8 stars out of 5,台式
iarw,名家大餛飩,/restaurant/iarw/ming-jia-da-hun-tun,4.8 stars out of 5,台式
gyyn,浮水印牛排館 (彰化鹿港店),/restaurant/gyyn/fu-shui-yin-niu-pai-guan-zhang-hua-lu-gang-dian,4.8 stars out of 5,歐美
lyhf,圓味壽司 (鹿港中山店),/restaurant/lyhf/yuan-wei-shou-si-lu-gang-zhong-shan-dian,4.9 stars out of 5,日式
f2yb,鹿港阿道,/restaurant/f2yb/lu-gang-a-dao,4.7 stars out of 5,台式
p10x,享食光肌能健康早午餐,/restaurant/p10x/xiang-shi-guang-ji-neng-jian-kang-zao-wu-can,4.9 stars out of 5,台式
n8xw,菓子良水果專賣店,/restaurant/n8xw/guo-zi-liang-shui-guo-zhuan-mai-dian,4.9 stars out of 5,健康餐
qn2c,津心綠豆沙鮮奶專賣店,/restaurant/qn2c/jin-xin-lu-dou-sha-xian-nai-zhuan-mai-dian,4.9 stars out of 5,飲料
n3hq,巷口小食,/restaurant/n3hq/xiang-kou-xiao-shi,4.7 stars out of 5,台式
j3ru,鹿港許家素食,/restaurant/j3ru/lu-gang-xu-jia-su-shi,4.8 stars out of 5,素食
